participant,rt,accuracy,item,task,control,AgeGroup
11,2862.8,0,paper,Colour,incon,Younger
11,4808.1,1,lion,Colour,incon,Younger
11,2073.8,0,pencil,Size,incon,Younger
11,4181.2,1,theatre,Size,incon,Younger
11,2297.1,0,lighter,Size,incon,Younger
11,2132.8,0,blackboard,Colour,incon,Younger
11,5796.1,1,bread,Colour,incon,Younger
11,4062.9,1,dove,Colour,incon,Younger
11,3102.6,1,stool,Size,incon,Younger
11,3141.4,1,chair,Size,incon,Younger
11,4567.3,1,box,Size,incon,Younger
12,2085.1,1,ham,Colour,cong,Younger
12,1789.7,1,blood,Colour,cong,Younger
12,1372.3,1,broccoli,Colour,cong,Younger
12,3089.7,0,hammer,Size,cong,Younger
12,1520.8,1,orange,Size,cong,Younger
12,1821.7,1,mouth,Size,cong,Younger
12,3989.2,0,coffee,Colour,cong,Younger
12,1554.3,1,ketchup,Colour,cong,Younger
12,4173.9,1,rhino,Colour,cong,Younger
12,1968,1,wasp,Size,cong,Younger
12,3721.6,1,goose,Size,cong,Younger
12,2538.5,1,donkey,Size,cong,Younger
12,3355.4,1,sunflower,Colour,cong,Younger
12,2405.2,1,gin,Colour,cong,Younger
12,1905.3,1,grass,Colour,cong,Younger
12,4638.4,1,window,Size,cong,Younger
12,1505.4,1,pen,Size,cong,Younger
12,3970.7,1,mop,Size,cong,Younger
12,2576.3,1,snow,Colour,cong,Younger
12,2405.3,1,butter,Colour,cong,Younger
12,5621.7,1,oregano,Colour,cong,Younger
12,2255.6,1,fork,Size,cong,Younger
12,3088.6,1,doctor,Size,cong,Younger
12,2091.2,1,dancer,Size,cong,Younger
12,1755.2,1,rice,Colour,incon,Younger
12,2155.3,1,tar,Colour,incon,Younger
12,4055.4,1,trumpet,Colour,incon,Younger
12,1804.3,1,diary,Size,incon,Younger
12,2988.6,1,gun,Size,incon,Younger
12,2088,1,football,Size,incon,Younger
12,1620.9,1,cranberry,Colour,incon,Younger
12,2070.9,1,cloud,Colour,incon,Younger
12,3104.8,1,chalk,Colour,incon,Younger
12,1538.4,1,handbag,Size,incon,Younger
12,1339.1,0,cup,Size,incon,Younger
12,1674.2,1,tribe,Size,incon,Younger
12,4471.3,1,highlighter,Colour,incon,Younger
12,3372.7,1,paper,Colour,incon,Younger
12,2437.4,1,lion,Colour,incon,Younger
12,2721.1,1,pencil,Size,incon,Younger
12,2106.2,1,theatre,Size,incon,Younger
12,4157,1,lighter,Size,incon,Younger
12,3505.9,1,blackboard,Colour,incon,Younger
12,2306.3,1,bread,Colour,incon,Younger
12,2356.1,1,dove,Colour,incon,Younger
12,5140.6,1,stool,Size,incon,Younger
12,4854.6,1,chair,Size,incon,Younger
12,2821.8,1,box,Size,incon,Younger
13,1849,1,ham,Colour,cong,Younger
13,9785,1,blood,Colour,cong,Younger
13,4565.3,1,broccoli,Colour,cong,Younger
13,5117.1,1,hammer,Size,cong,Younger
13,1749.8,1,orange,Size,cong,Younger
13,2616.1,1,mouth,Size,cong,Younger
13,1297.6,1,coffee,Colour,cong,Younger
13,1566.1,1,ketchup,Colour,cong,Younger
13,2199.1,1,rhino,Colour,cong,Younger
13,1068,1,wasp,Size,cong,Younger
13,1532.8,1,goose,Size,cong,Younger
13,1399.7,1,donkey,Size,cong,Younger
13,2031.1,1,sunflower,Colour,cong,Younger
13,7464.5,1,gin,Colour,cong,Younger
13,4216.4,1,grass,Colour,cong,Younger
13,4315.8,1,window,Size,cong,Younger
13,1547.9,1,pen,Size,cong,Younger
13,2082.4,1,mop,Size,cong,Younger
13,3384,1,snow,Colour,cong,Younger
13,2817.4,1,butter,Colour,cong,Younger
13,2481,1,oregano,Colour,cong,Younger
13,2865.3,1,fork,Size,cong,Younger
13,3367.8,1,doctor,Size,cong,Younger
13,6886,1,dancer,Size,cong,Younger
13,1380.7,0,rice,Colour,incon,Younger
13,15265.2,1,tar,Colour,incon,Younger
13,1597.5,0,trumpet,Colour,incon,Younger
13,1699.9,0,diary,Size,incon,Younger
